customer_id,first_name,last_name,date_of_birth,phone,email
1,James,Butt,1978-12-08,504-621-8927,jbutt@gmail.com
2,Josephine,Darakjy,1978-12-09,810-292-9388,josephine_darakjy@darakjy.org
3,Art,Venere,1974-01-10,856-636-8749,art@venere.org
4,Lenna,Paprocki,1982-04-11,907-385-4412,lpaprocki@hotmail.com
5,Donette,Foller,1978-02-12,513-570-1893,donette.foller@cox.net
6,Simona,Morasca,1978-06-13,419-503-2484,simona@morasca.com
7,Mitsue,Tollner,2064-03-14,773-573-6914,mitsue_tollner@yahoo.com
8,Leota,Dilliard,2056-09-15,408-752-3500,leota@hotmail.com
9,Sage,Wieser,1998-09-16,605-414-2147,sage_wieser@cox.net
10,Kris,Marrier,2055-09-17,410-655-8723,kris@gmail.com
11,Minna,Amigon,2063-05-18,215-874-1229,minna_amigon@yahoo.com
12,Abel,Maclead,1978-11-19,631-335-3414,amaclead@gmail.com
13,Kiley,Caldarera,1978-08-20,310-498-5651,kiley.caldarera@aol.com
14,Graciela,Ruta,1978-03-21,440-780-8425,gruta@cox.net
15,Cammy,Albares,1978-09-22,956-537-6195,calbares@gmail.com
16,Mattie,Poquette,1978-12-23,602-277-4385,mattie@aol.com
17,Meaghan,Garufi,1978-12-24,931-313-9635,meaghan@hotmail.com
18,Gladys,Rim,1978-12-25,414-661-9598,gladys.rim@rim.org
19,Yuki,Whobrey,1978-12-26,313-288-7937,yuki_whobrey@aol.com
20,Fletcher,Flosi,1978-12-27,815-828-2147,fletcher.flosi@yahoo.com
21,Bette,Nicka,1978-12-28,610-545-3615,bette_nicka@cox.net
22,Veronika,Inouye,1978-12-29,408-540-1785,vinouye@aol.com
23,Willard,Kolmetz,1978-12-30,972-303-9197,willard@hotmail.com
24,Maryann,Royster,1978-12-31,518-966-7987,mroyster@royster.com
25,Alisha,Slusarski,1979-01-01,732-658-3154,alisha@slusarski.com
26,Allene,Iturbide,1979-01-02,715-662-6764,allene_iturbide@cox.net
27,Chanel,Caudy,1979-01-03,913-388-2079,chanel.caudy@caudy.org
28,Ezekiel,Chui,1979-01-04,410-669-1642,ezekiel@chui.com
29,Willow,Kusko,1979-01-05,212-582-4976,wkusko@yahoo.com
30,Bernardo,Figeroa,1979-01-06,936-336-3951,bfigeroa@aol.com
31,Ammie,Corrio,1979-01-07,614-801-9788,ammie@corrio.com
32,Francine,Vocelka,1979-01-08,505-977-3911,francine_vocelka@vocelka.com
33,Ernie,Stenseth,1979-01-09,201-709-6245,ernie_stenseth@aol.com
34,Albina,Glick,1979-01-10,732-924-7882,albina@glick.com
35,Alishia,Sergi,1979-01-11,212-860-1579,asergi@gmail.com
36,Solange,Shinko,1979-01-12,504-979-9175,solange@shinko.com
37,Jose,Stockham,1979-01-13,212-675-8570,jose@yahoo.com
38,Rozella,Ostrosky,1979-01-14,805-832-6163,rozella.ostrosky@ostrosky.com
39,Valentine,Gillian,1979-01-15,210-812-9597,valentine_gillian@gmail.com
40,Kati,Rulapaugh,1979-01-16,785-463-7829,kati.rulapaugh@hotmail.com
41,Youlanda,Schemmer,1979-01-17,541-548-8197,youlanda@aol.com
42,Dyan,Oldroyd,1979-01-18,913-413-4604,doldroyd@aol.com
43,Roxane,Campain,1979-01-19,907-231-4722,roxane@hotmail.com
44,Lavera,Perin,1979-01-20,305-606-7291,lperin@perin.org
45,Erick,Ferencz,1979-01-21,907-741-1044,erick.ferencz@aol.com
46,Fatima,Saylors,1979-01-22,952-768-2416,fsaylors@saylors.org
47,Jina,Briddick,1979-01-23,617-399-5124,jina_briddick@briddick.com
48,Kanisha,Waycott,1979-01-24,323-453-2780,kanisha_waycott@yahoo.com
49,Emerson,Bowley,1979-01-25,608-336-7444,emerson.bowley@bowley.org
50,Blair,Malet,1979-01-26,215-907-9111,bmalet@yahoo.com
51,Brock,Bolognia,1979-01-27,212-402-9216,bbolognia@yahoo.com
52,Lorrie,Nestle,1979-01-28,931-875-6644,lnestle@hotmail.com
53,Sabra,Uyetake,1979-01-29,803-925-5213,sabra@uyetake.org
54,Marjory,Mastella,1979-01-30,610-814-5533,mmastella@mastella.com
55,Karl,Klonowski,1979-01-31,908-877-6135,karl_klonowski@yahoo.com
56,Tonette,Wenner,1979-02-01,516-968-6051,twenner@aol.com
57,Amber,Monarrez,1979-02-02,215-934-8655,amber_monarrez@monarrez.org
58,Shenika,Seewald,1979-02-03,818-423-4007,shenika@gmail.com
59,Delmy,Ahle,1979-02-04,401-458-2547,delmy.ahle@hotmail.com
60,Deeanna,Juhas,1979-02-05,215-211-9589,deeanna_juhas@gmail.com
61,Blondell,Pugh,1979-02-06,401-960-8259,bpugh@aol.com
62,Jamal,Vanausdal,1979-02-07,732-234-1546,jamal@vanausdal.org
63,Cecily,Hollack,1979-02-08,512-486-3817,cecily@hollack.org
64,Carmelina,Lindall,1979-02-09,303-724-7371,carmelina_lindall@lindall.com
65,Maurine,Yglesias,1979-02-10,414-748-1374,maurine_yglesias@yglesias.com
66,Tawna,Buvens,1979-02-11,212-674-9610,tawna@gmail.com
67,Penney,Weight,1979-02-12,907-797-9628,penney_weight@aol.com
68,Elly,Morocco,1979-02-13,814-393-5571,elly_morocco@gmail.com
69,Ilene,Eroman,1979-02-14,410-914-9018,ilene.eroman@hotmail.com
70,Vallie,Mondella,1979-02-15,208-862-5339,vmondella@mondella.com
71,Kallie,Blackwood,1979-02-16,415-315-2761,kallie.blackwood@gmail.com
72,Johnetta,Abdallah,1979-02-17,919-225-9345,johnetta_abdallah@aol.com
73,Bobbye,Rhym,1979-02-18,650-528-5783,brhym@rhym.com
74,Micaela,Rhymes,1979-02-19,925-647-3298,micaela_rhymes@gmail.com
75,Tamar,Hoogland,1979-02-20,740-343-8575,tamar@hotmail.com
76,Moon,Parlato,1979-02-21,585-866-8313,moon@yahoo.com
77,Laurel,Reitler,1979-02-22,410-520-4832,laurel_reitler@reitler.com
78,Delisa,Crupi,1979-02-23,973-354-2040,delisa.crupi@crupi.com
79,Viva,Toelkes,1979-02-24,773-446-5569,viva.toelkes@gmail.com
80,Elza,Lipke,1979-02-25,973-927-3447,elza@yahoo.com
81,Devorah,Chickering,1979-02-26,505-975-8559,devorah@hotmail.com
